workerid,rt,trial_type,stim_type,trial_num,stim_determiner,stim_prevalence,stim_property,response,stim_category
3,5942,truth_conditions,color,3,generic,10,blue claws,Agree,grinks
3,3660,truth_conditions,part,4,generic,70,teeth,Agree,javs
3,4015,truth_conditions,color,5,generic,70,yellow fur,Agree,kweps
3,4253,truth_conditions,accidental,6,generic,50,wet fur,Agree,dorbs
3,3868,truth_conditions,vague,7,generic,50,smooth feathers,Agree,krivels
3,3167,truth_conditions,vague,8,generic,70,long legs,Agree,kazzes
3,4683,truth_conditions,part,9,generic,90,legs,Agree,moxes
3,4064,truth_conditions,disease,10,generic,30,torn tails,Agree,ollers
3,4164,truth_conditions,color,11,generic,90,orange ears,Agree,elleps
3,3567,truth_conditions,disease,12,generic,90,torn feathers,Agree,cheebas
3,5003,truth_conditions,color,13,generic,50,purple feathers,Agree,zoovs
3,2990,truth_conditions,disease,14,generic,50,broken legs,Agree,thups
3,3319,truth_conditions,part,15,generic,50,fur,Agree,glippets
3,3320,truth_conditions,accidental,16,generic,30,itchy tails,Agree,luzaks
3,3185,truth_conditions,accidental,17,generic,70,dusty skin,Agree,lorches
3,5555,truth_conditions,vague,18,generic,10,long teeth,Agree,trufts
3,3049,truth_conditions,vague,19,generic,30,rough skin,Agree,feps
3,3845,truth_conditions,accidental,20,generic,10,muddy feathers,Agree,wugs
3,4100,truth_conditions,part,21,generic,30,feathers,Agree,morseths
3,3804,truth_conditions,disease,22,generic,70,fungus-covered fur,Agree,zorbs
3,2764,truth_conditions,disease,23,generic,10,rotten teeth,Agree,stups
3,5637,truth_conditions,color,24,generic,30,pink teeth,Agree,pangolins
4,12827,truth_conditions,disease,0,generic,10,burned skin,Disagree,ackles
4,8801,truth_conditions,vague,1,generic,50,smooth feathers,Agree,stups
4,3344,truth_conditions,accidental,2,generic,70,cracked claws,Agree,sapers
4,5921,truth_conditions,part,3,generic,70,claws,Agree,reesles
4,4044,truth_conditions,accidental,4,generic,90,swollen ears,Agree,cheebas
4,3726,truth_conditions,part,5,generic,50,teeth,Agree,zoovs
4,5002,truth_conditions,color,6,generic,70,purple feathers,Agree,morseths
4,3906,truth_conditions,vague,7,generic,90,long tails,Agree,wugs
4,3913,truth_conditions,color,8,generic,10,orange tails,Disagree,krivels
4,4267,truth_conditions,disease,9,generic,30,worn-out claws,Disagree,pangolins
4,3864,truth_conditions,color,10,generic,30,pink teeth,Disagree,crullets
4,3531,truth_conditions,color,11,generic,50,violet skin,Agree,taifels
4,4101,truth_conditions,disease,12,generic,90,rotten teeth,Agree,kazzes
4,4070,truth_conditions,disease,13,generic,70,fungus-covered fur,Agree,frams
4,3858,truth_conditions,accidental,14,generic,10,muddy feathers,Disagree,daiths
4,3570,truth_conditions,vague,15,generic,10,curly fur,Disagree,plovs
4,5079,truth_conditions,disease,16,generic,50,infected ears,Agree,kweps
4,7175,truth_conditions,part,17,generic,10,skin,Disagree,elleps
4,3267,truth_conditions,vague,18,generic,30,long legs,Disagree,dorbs
4,4039,truth_conditions,accidental,19,generic,30,itchy tails,Disagree,luzaks
4,3899,truth_conditions,part,20,generic,30,tails,Disagree,moxes
4,3330,truth_conditions,part,21,generic,90,feathers,Agree,feps
4,2970,truth_conditions,color,22,generic,90,silver legs,Agree,mooks
4,4078,truth_conditions,accidental,23,generic,50,wet fur,Agree,grinks
4,3499,truth_conditions,vague,24,generic,70,long teeth,Agree,ollers
5,7602,truth_conditions,part,0,generic,30,feathers,Agree,frams
5,8281,truth_conditions,part,1,generic,90,tails,Agree,thups
5,4518,truth_conditions,vague,2,generic,10,long tails,Disagree,ollers
5,13424,truth_conditions,disease,3,generic,70,burned skin,Disagree,trufts
5,17816,truth_conditions,disease,4,generic,30,torn tails,Agree,sapers
5,8864,truth_conditions,color,5,generic,30,violet skin,Disagree,javs
5,3840,truth_conditions,color,6,generic,70,purple feathers,Agree,reesles
5,3745,truth_conditions,disease,7,generic,90,infected ears,Agree,moxes
5,35403,truth_conditions,vague,8,generic,50,big claws,Agree,pangolins
5,5100,truth_conditions,vague,9,generic,30,long legs,Agree,ackles
5,5607,truth_conditions,accidental,10,generic,70,swollen ears,Agree,kazzes
5,4482,truth_conditions,color,11,generic,90,orange tails,Agree,luzaks
5,4110,truth_conditions,part,12,generic,50,claws,Agree,kweps
5,14415,truth_conditions,disease,13,generic,10,torn feathers,Disagree,mooks
5,4456,truth_conditions,disease,14,generic,50,fungus-covered fur,Agree,feps
5,6632,truth_conditions,part,15,generic,10,ears,Disagree,zoovs
5,4911,truth_conditions,part,16,generic,70,teeth,Agree,krivels
5,4512,truth_conditions,accidental,17,generic,10,sore legs,Disagree,lorches
5,3287,truth_conditions,color,18,generic,10,yellow fur,Disagree,taifels
5,2865,truth_conditions,accidental,19,generic,30,muddy feathers,Disagree,plovs
5,3247,truth_conditions,color,20,generic,50,pink teeth,Agree,cheebas
5,3135,truth_conditions,vague,21,generic,90,rough skin,Agree,stups
5,2612,truth_conditions,accidental,22,generic,90,dusty skin,Agree,blins
5,2465,truth_conditions,accidental,23,generic,50,wet fur,Agree,daiths
5,2425,truth_conditions,vague,24,generic,70,curly fur,Agree,zorbs
6,8235,truth_conditions,color,0,generic,30,pink teeth,Agree,morseths
6,2737,truth_conditions,part,1,generic,70,feathers,Agree,zorbs
6,3363,truth_conditions,disease,2,generic,30,burned skin,Agree,crullets
6,2821,truth_conditions,disease,3,generic,10,torn feathers,Disagree,ackles
6,2611,truth_conditions,accidental,4,generic,30,wet fur,Agree,grinks
6,2040,truth_conditions,disease,5,generic,70,torn tails,Agree,mooks
6,3730,truth_conditions,color,6,generic,50,violet skin,Agree,ollers
6,1886,truth_conditions,vague,7,generic,90,long legs,Agree,feps
6,1884,truth_conditions,accidental,8,generic,50,dusty skin,Agree,zoovs
6,2183,truth_conditions,vague,9,generic,70,small ears,Agree,plovs
6,2035,truth_conditions,part,10,generic,30,ears,Agree,wugs
6,3893,truth_conditions,color,11,generic,90,yellow fur,Agree,pangolins
6,2667,truth_conditions,disease,12,generic,90,worn-out claws,Agree,thups
6,3026,truth_conditions,part,13,generic,90,tails,Agree,luzaks
6,7570,truth_conditions,part,14,generic,10,skin,Disagree,trufts
6,2227,truth_conditions,accidental,15,generic,70,sore legs,Agree,kazzes
6,2548,truth_conditions,color,16,generic,70,orange tails,Agree,javs
6,1952,truth_conditions,accidental,17,generic,90,muddy feathers,Agree,lorches
6,19300,truth_conditions,vague,18,generic,10,big claws,Disagree,dorbs
6,1958,truth_conditions,vague,19,generic,30,curly fur,Agree,stups
6,2042,truth_conditions,vague,20,generic,50,long teeth,Agree,daiths
6,3271,truth_conditions,part,21,generic,50,fur,Agree,elleps
6,2787,truth_conditions,accidental,22,generic,10,swollen ears,Disagree,glippets
6,1831,truth_conditions,disease,23,generic,50,rotten teeth,Agree,moxes
6,1825,truth_conditions,color,24,generic,10,blue claws,Disagree,kweps
7,22975,truth_conditions,accidental,0,generic,30,sore teeth,Agree,grinks
7,17915,truth_conditions,vague,1,generic,70,big claws,Disagree,reesles
7,13259,truth_conditions,accidental,2,generic,50,itchy tails,Disagree,javs
7,10128,truth_conditions,part,3,generic,30,tails,Disagree,stups
7,9687,truth_conditions,part,4,generic,50,claws,Disagree,zorbs
7,8127,truth_conditions,color,5,generic,10,violet skin,Disagree,kweps
7,9902,truth_conditions,vague,6,generic,90,long tails,Disagree,sapers
7,7375,truth_conditions,accidental,7,generic,70,sore legs,Disagree,blins
7,6735,truth_conditions,disease,8,generic,50,broken legs,Disagree,cheebas
7,5513,truth_conditions,part,9,generic,70,skin,Disagree,plovs
7,6927,truth_conditions,part,10,generic,90,legs,Disagree,moxes
7,7374,truth_conditions,accidental,11,generic,10,swollen ears,Disagree,zoovs
7,9344,truth_conditions,accidental,12,generic,90,muddy feathers,Disagree,frams
7,5904,truth_conditions,color,13,generic,50,pink teeth,Disagree,crullets
7,5993,truth_conditions,color,14,generic,30,purple feathers,Disagree,lorches
7,7775,truth_conditions,vague,15,generic,30,curly fur,Disagree,trufts
7,7561,truth_conditions,disease,16,generic,30,worn-out claws,Disagree,taifels
7,9112,truth_conditions,color,17,generic,70,silver legs,Disagree,ackles
7,13119,truth_conditions,part,18,generic,10,feathers,Disagree,krivels
7,11592,truth_conditions,disease,19,generic,90,burned skin,Disagree,dorbs
7,7696,truth_conditions,disease,20,generic,70,infected ears,Disagree,daiths
7,5312,truth_conditions,color,21,generic,90,blue claws,Disagree,ollers
7,7040,truth_conditions,vague,22,generic,50,small ears,Disagree,morseths
7,6535,truth_conditions,disease,23,generic,10,rotten teeth,Disagree,thups
7,10231,truth_conditions,vague,24,generic,10,long teeth,Disagree,wugs
8,5140,truth_conditions,color,0,generic,90,violet skin,Agree,ackles
8,5593,truth_conditions,part,1,generic,50,skin,Disagree,zoovs
8,3268,truth_conditions,disease,2,generic,50,broken legs,Disagree,wugs
8,6111,truth_conditions,color,3,generic,30,yellow fur,Disagree,thups
8,3092,truth_conditions,vague,4,generic,50,long legs,Disagree,daiths
8,4806,truth_conditions,disease,5,generic,70,torn feathers,Agree,trufts
8,2505,truth_conditions,accidental,6,generic,30,swollen ears,Disagree,kazzes
8,6241,truth_conditions,disease,7,generic,90,infected ears,Agree,plovs
8,2335,truth_conditions,color,8,generic,70,orange tails,Agree,krivels
8,6041,truth_conditions,accidental,9,generic,70,wet fur,Agree,mooks
8,3690,truth_conditions,part,10,generic,70,teeth,Agree,moxes
8,2533,truth_conditions,vague,11,generic,10,smooth feathers,Disagree,lorches
8,7485,truth_conditions,color,12,generic,10,pink teeth,Disagree,stups
8,2069,truth_conditions,accidental,13,generic,50,sore teeth,Disagree,javs
8,2069,truth_conditions,part,14,generic,10,feathers,Disagree,blins
8,1900,truth_conditions,vague,15,generic,90,small ears,Agree,feps
8,2156,truth_conditions,accidental,16,generic,90,dusty skin,Agree,glippets
8,1688,truth_conditions,disease,17,generic,30,worn-out claws,Disagree,crullets
8,1685,truth_conditions,vague,18,generic,30,curly fur,Disagree,pangolins
8,1820,truth_conditions,part,19,generic,30,ears,Disagree,ollers
8,2430,truth_conditions,color,20,generic,50,blue claws,Disagree,zorbs
8,1949,truth_conditions,accidental,21,generic,10,itchy tails,Disagree,elleps
8,1781,truth_conditions,part,22,generic,90,claws,Agree,morseths
8,1408,truth_conditions,disease,23,generic,10,torn tails,Disagree,sapers
8,1442,truth_conditions,vague,24,generic,70,big claws,Agree,reesles
9,4947,truth_conditions,part,0,generic,50,teeth,Agree,trufts
9,2681,truth_conditions,vague,1,generic,90,small ears,Agree,dorbs
9,3397,truth_conditions,vague,2,generic,50,rough skin,Disagree,kweps
9,1902,truth_conditions,disease,3,generic,70,torn tails,Agree,zorbs
9,2396,truth_conditions,accidental,4,generic,10,itchy tails,Disagree,luzaks
9,2049,truth_conditions,accidental,5,generic,90,sore legs,Agree,grinks
9,1551,truth_conditions,accidental,6,generic,30,swollen ears,Disagree,feps
9,2385,truth_conditions,part,7,generic,70,fur,Agree,ackles
9,2383,truth_conditions,part,8,generic,90,tails,Agree,mooks
9,1376,truth_conditions,part,9,generic,10,ears,Disagree,morseths
9,1579,truth_conditions,disease,10,generic,10,broken legs,Disagree,krivels
9,1373,truth_conditions,accidental,11,generic,70,sore teeth,Agree,daiths
9,2583,truth_conditions,disease,12,generic,50,infected ears,Agree,blins
9,1577,truth_conditions,vague,13,generic,30,smooth feathers,Disagree,stups
9,1154,truth_conditions,vague,14,generic,70,long legs,Agree,reesles
9,1770,truth_conditions,color,15,generic,90,orange ears,Agree,frams
9,1582,truth_conditions,accidental,16,generic,50,dusty skin,Agree,pangolins
9,1347,truth_conditions,vague,17,generic,10,long tails,Disagree,lorches
9,1610,truth_conditions,disease,18,generic,90,rotten teeth,Agree,javs
9,2506,truth_conditions,disease,19,generic,30,torn feathers,Disagree,thups
9,1495,truth_conditions,part,20,generic,30,feathers,Disagree,ollers
9,1397,truth_conditions,color,21,generic,50,orange tails,Agree,sapers
9,1260,truth_conditions,color,22,generic,70,blue claws,Agree,moxes
9,1340,truth_conditions,color,23,generic,30,violet skin,Disagree,zoovs
9,1388,truth_conditions,color,24,generic,10,yellow fur,Disagree,glippets
10,6456,truth_conditions,disease,0,generic,10,broken legs,Disagree,javs
10,1517,truth_conditions,color,1,generic,30,yellow fur,Disagree,dorbs
10,2351,truth_conditions,vague,2,generic,10,big claws,Disagree,elleps
10,2369,truth_conditions,part,3,generic,50,fur,Agree,trufts
10,1800,truth_conditions,color,4,generic,90,orange ears,Agree,plovs
10,2463,truth_conditions,vague,5,generic,70,long tails,Agree,zorbs
10,1056,truth_conditions,vague,6,generic,30,smooth feathers,Disagree,stups
10,2336,truth_conditions,accidental,7,generic,10,sore teeth,Disagree,morseths
10,1807,truth_conditions,vague,8,generic,50,small ears,Agree,kweps
10,1352,truth_conditions,color,9,generic,50,orange tails,Agree,glippets
10,1688,truth_conditions,color,10,generic,70,violet skin,Agree,moxes
10,1328,truth_conditions,part,11,generic,90,ears,Agree,cheebas
10,1776,truth_conditions,accidental,12,generic,70,muddy feathers,Agree,pangolins
10,1641,truth_conditions,accidental,13,generic,30,swollen ears,Disagree,grinks
10,1097,truth_conditions,accidental,14,generic,50,wet fur,Agree,blins
10,1831,truth_conditions,color,15,generic,10,purple feathers,Disagree,zoovs
10,6783,truth_conditions,accidental,16,generic,90,dusty skin,Agree,krivels
10,1295,truth_conditions,disease,17,generic,70,infected ears,Agree,ackles
10,1232,truth_conditions,disease,18,generic,30,torn feathers,Disagree,wugs
10,1120,truth_conditions,disease,19,generic,90,rotten teeth,Agree,daiths
10,1120,truth_conditions,part,20,generic,70,legs,Agree,crullets
10,944,truth_conditions,part,21,generic,10,teeth,Disagree,mooks
10,1472,truth_conditions,disease,22,generic,50,burned skin,Agree,ollers
10,1159,truth_conditions,part,23,generic,30,claws,Disagree,taifels
10,1376,truth_conditions,vague,24,generic,90,long teeth,Agree,feps
11,9083,truth_conditions,disease,0,generic,70,infected ears,Disagree,stups
11,3185,truth_conditions,accidental,1,generic,70,itchy tails,Disagree,crullets
11,3608,truth_conditions,vague,2,generic,70,curly fur,Agree,blins
11,2903,truth_conditions,part,3,generic,30,ears,Disagree,javs
11,4393,truth_conditions,color,4,generic,10,orange tails,Disagree,daiths
11,2048,truth_conditions,accidental,5,generic,50,sore teeth,Disagree,mooks
11,1974,truth_conditions,part,6,generic,70,legs,Agree,taifels
11,2688,truth_conditions,color,7,generic,30,purple feathers,Disagree,lorches
11,3225,truth_conditions,disease,8,generic,50,burned skin,Agree,wugs
11,1896,truth_conditions,vague,9,generic,90,long legs,Agree,glippets
11,3599,truth_conditions,part,10,generic,90,teeth,Agree,pangolins
11,4704,truth_conditions,part,11,generic,50,claws,Disagree,cheebas
11,2559,truth_conditions,color,12,generic,50,silver legs,Disagree,frams
11,3888,truth_conditions,vague,13,generic,50,long teeth,Agree,krivels
11,1703,truth_conditions,vague,14,generic,30,long tails,Agree,zoovs
11,2327,truth_conditions,color,15,generic,70,pink teeth,Agree,elleps
11,2489,truth_conditions,accidental,16,generic,10,muddy feathers,Agree,zorbs
11,1721,truth_conditions,disease,17,generic,10,rotten teeth,Agree,trufts
11,1542,truth_conditions,vague,18,generic,10,small ears,Agree,ollers
11,2256,truth_conditions,part,19,generic,10,tails,Agree,plovs
11,3800,truth_conditions,color,20,generic,90,orange ears,Agree,grinks
11,4247,truth_conditions,accidental,21,generic,90,dusty skin,Agree,thups
11,1777,truth_conditions,disease,22,generic,30,torn tails,Agree,kazzes
11,1968,truth_conditions,accidental,23,generic,30,cracked claws,Agree,ackles
11,4367,truth_conditions,disease,24,generic,90,broken legs,Disagree,luzaks
12,8672,truth_conditions,accidental,0,generic,90,sore legs,Agree,morseths
12,4748,truth_conditions,part,1,generic,10,claws,Disagree,grinks
12,4541,truth_conditions,part,2,generic,50,legs,Disagree,wugs
12,5663,truth_conditions,color,3,generic,10,orange ears,Disagree,ackles
12,3101,truth_conditions,color,4,generic,70,pink teeth,Agree,glippets
12,5834,truth_conditions,part,5,generic,70,skin,Agree,plovs
12,2455,truth_conditions,color,6,generic,50,blue claws,Disagree,luzaks
12,1518,truth_conditions,vague,7,generic,50,big claws,Disagree,kweps
12,3210,truth_conditions,disease,8,generic,90,worn-out claws,Agree,elleps
12,4335,truth_conditions,vague,9,generic,70,curly fur,Agree,thups
12,2462,truth_conditions,accidental,10,generic,50,cracked claws,Disagree,kazzes
12,2775,truth_conditions,vague,11,generic,10,small ears,Disagree,lorches
12,3114,truth_conditions,disease,12,generic,70,burned skin,Agree,sapers
12,2190,truth_conditions,vague,13,generic,90,long legs,Agree,reesles
12,5224,truth_conditions,accidental,14,generic,30,sore teeth,Disagree,trufts
12,1952,truth_conditions,part,15,generic,30,fur,Disagree,cheebas
12,3590,truth_conditions,accidental,16,generic,70,muddy feathers,Agree,blins
12,1436,truth_conditions,disease,17,generic,50,torn feathers,Disagree,crullets
12,1806,truth_conditions,part,18,generic,90,tails,Agree,mooks
12,3678,truth_conditions,vague,19,generic,30,rough skin,Disagree,taifels
12,2191,truth_conditions,disease,20,generic,10,fungus-covered fur,Disagree,javs
12,2744,truth_conditions,accidental,21,generic,10,itchy tails,Disagree,moxes
12,2291,truth_conditions,color,22,generic,30,orange tails,Disagree,pangolins
12,1718,truth_conditions,color,23,generic,90,purple feathers,Agree,dorbs
12,3703,truth_conditions,disease,24,generic,30,rotten teeth,Disagree,stups
13,4375,truth_conditions,accidental,0,generic,70,sore legs,Agree,ackles
13,2757,truth_conditions,color,1,generic,10,violet skin,Agree,reesles
13,2920,truth_conditions,part,2,generic,70,fur,Agree,mooks
13,2832,truth_conditions,color,3,generic,90,orange ears,Agree,lorches
13,2816,truth_conditions,color,4,generic,70,purple feathers,Agree,morseths
13,5601,truth_conditions,part,5,generic,10,tails,Disagree,luzaks
13,3503,truth_conditions,disease,6,generic,30,torn tails,Agree,trufts
13,2471,truth_conditions,vague,7,generic,10,curly fur,Disagree,thups
13,7672,truth_conditions,vague,8,generic,30,long legs,Agree,javs
13,2239,truth_conditions,color,9,generic,50,pink teeth,Agree,taifels
13,2481,truth_conditions,vague,10,generic,90,smooth feathers,Agree,elleps
13,2070,truth_conditions,disease,11,generic,10,infected ears,Disagree,krivels
13,3041,truth_conditions,disease,12,generic,90,fungus-covered fur,Agree,stups
13,4158,truth_conditions,accidental,13,generic,90,dusty skin,Agree,grinks
13,2951,truth_conditions,disease,14,generic,70,rotten teeth,Agree,kweps
13,2985,truth_conditions,vague,15,generic,50,small ears,Agree,crullets
13,5000,truth_conditions,accidental,16,generic,30,swollen ears,Disagree,pangolins
13,2214,truth_conditions,part,17,generic,50,skin,Agree,wugs
13,2448,truth_conditions,disease,18,generic,50,burned skin,Agree,blins
13,2896,truth_conditions,vague,19,generic,70,long teeth,Agree,dorbs
13,2214,truth_conditions,part,20,generic,90,teeth,Agree,daiths
13,3029,truth_conditions,accidental,21,generic,50,itchy tails,Agree,feps
13,3202,truth_conditions,color,22,generic,30,yellow fur,Disagree,zorbs
13,7631,truth_conditions,part,23,generic,30,feathers,Disagree,kazzes
13,2727,truth_conditions,accidental,24,generic,10,cracked claws,Disagree,plovs
14,8059,truth_conditions,part,0,generic,30,claws,Disagree,zorbs
14,6659,truth_conditions,disease,1,generic,70,burned skin,Agree,luzaks
14,4583,truth_conditions,vague,2,generic,50,long teeth,Agree,daiths
14,3959,truth_conditions,color,3,generic,50,yellow fur,Agree,blins
14,3897,truth_conditions,disease,4,generic,30,fungus-covered fur,Disagree,pangolins
14,2592,truth_conditions,vague,5,generic,70,long tails,Agree,dorbs
14,3727,truth_conditions,part,6,generic,10,feathers,Disagree,thups
14,5273,truth_conditions,color,7,generic,90,purple feathers,Agree,morseths
14,3311,truth_conditions,disease,8,generic,90,rotten teeth,Agree,ackles
14,2951,truth_conditions,color,9,generic,10,blue claws,Disagree,grinks
14,2888,truth_conditions,disease,10,generic,50,broken legs,Agree,wugs
14,3752,truth_conditions,vague,11,generic,90,big claws,Agree,sapers
14,3632,truth_conditions,color,12,generic,30,orange tails,Disagree,stups
14,3441,truth_conditions,accidental,13,generic,70,itchy tails,Agree,plovs
14,4191,truth_conditions,disease,14,generic,10,torn feathers,Disagree,moxes
14,4128,truth_conditions,accidental,15,generic,90,cracked claws,Agree,cheebas
14,3191,truth_conditions,vague,16,generic,30,rough skin,Disagree,ollers
14,3050,truth_conditions,vague,17,generic,10,smooth feathers,Disagree,crullets
14,2761,truth_conditions,color,18,generic,70,pink teeth,Agree,kweps
14,3054,truth_conditions,part,19,generic,50,ears,Agree,krivels
14,2776,truth_conditions,part,20,generic,90,teeth,Agree,kazzes
14,4169,truth_conditions,accidental,21,generic,30,muddy feathers,Disagree,taifels
14,3055,truth_conditions,part,22,generic,70,tails,Agree,frams
14,2897,truth_conditions,accidental,23,generic,10,wet fur,Disagree,trufts
14,2800,truth_conditions,accidental,24,generic,50,swollen ears,Agree,feps
15,4319,truth_conditions,accidental,0,generic,50,cracked claws,Agree,grinks
15,2768,truth_conditions,color,1,generic,90,violet skin,Disagree,reesles
15,3337,truth_conditions,part,2,generic,90,ears,Agree,elleps
15,2908,truth_conditions,color,3,generic,30,orange ears,Disagree,mooks
15,2344,truth_conditions,vague,4,generic,70,smooth feathers,Agree,lorches
15,2552,truth_conditions,vague,5,generic,90,long tails,Agree,wugs
15,2629,truth_conditions,vague,6,generic,30,curly fur,Disagree,taifels
15,2205,truth_conditions,part,7,generic,10,claws,Agree,blins
15,3332,truth_conditions,disease,8,generic,90,torn tails,Disagree,kweps
15,3004,truth_conditions,part,9,generic,70,skin,Agree,zoovs
15,16548,truth_conditions,disease,10,generic,10,broken legs,Disagree,luzaks
15,3037,truth_conditions,color,11,generic,50,blue claws,Agree,crullets
15,5920,truth_conditions,disease,12,generic,30,burned skin,Disagree,sapers
15,1840,truth_conditions,part,13,generic,50,tails,Agree,kazzes
15,2769,truth_conditions,disease,14,generic,70,rotten teeth,Disagree,stups
15,2569,truth_conditions,color,15,generic,10,yellow fur,Agree,javs
15,3062,truth_conditions,vague,16,generic,50,long legs,Agree,krivels
15,2075,truth_conditions,vague,17,generic,10,big claws,Agree,daiths
