"workerid","category","trial_type","rt","trial_num","response"
12,"carries malaria","free_production",6535,1,"mosquito"
12,"has a pouch","free_production",5495,2,"kangaroo"
12,"has wings","free_production",3324,3,"bat"
12,"attacks swimmers","free_production",6059,4,"shark"
12,"carries Lyme disease","free_production",4323,5,"tick"
12,"doesn&quotechart carry Lyme disease","free_production",6595,6,"fly"
12,"is red","free_production",4857,7,"fox"
12,"doesn&quotechart eat people","free_production",30479,8,"squirrel "
12,"is juvenile","free_production",8560,9,"puppy"
12,"eats people","free_production",3423,10,"bear"
12,"doesn&quotechart attack swimmers","free_production",8844,11,"gold fish"
12,"lays eggs","free_production",4349,12,"chicken"
12,"has a mane","free_production",4625,13,"cat"
12,"has beautiful feathers","free_production",4583,14,"peacock"
12,"is white","free_production",4428,15,"owl"
12,"is female","free_production",3691,16,"doe"
12,"is full-grown","free_production",7015,17,"buck"
12,"doesn&quotechart have beautiful feathers","free_production",16603,18,"rat"
12,"is male","free_production",19353,19,"ram"
12,"has spots","free_production",13528,20,"cheetah"
12,"doesn&quotechart carry malaria","free_production",8284,21,"stork"
13,"carries Lyme disease","free_production",5934,1,"tick"
13,"is full-grown","free_production",7398,2,"cow"
13,"is juvenile","free_production",8999,3,"fly"
13,"eats people","free_production",22699,4,"lion"
13,"is female","free_production",6630,5,"deer"
13,"has beautiful feathers","free_production",8618,6,"peacock"
13,"has spots","free_production",9340,7,"cow"
13,"is male","free_production",5170,8,"bull"
13,"has a mane","free_production",6791,9,"lion"
13,"lays eggs","free_production",5007,10,"snake"
13,"carries malaria","free_production",8671,11,"mosquitoes "
13,"doesn&quotechart attack swimmers","free_production",8936,12,"dog"
13,"doesn&quotechart have beautiful feathers","free_production",9649,13,"crow"
13,"is red","free_production",47966,14,"robin"
13,"has wings","free_production",6596,15,"cardinal"
13,"attacks swimmers","free_production",5357,16,"shark"
13,"doesn&quotechart carry malaria","free_production",10278,17,"cow"
13,"doesn&quotechart eat people","free_production",5707,18,"cow"
13,"has a pouch","free_production",11095,19,"koala "
13,"doesn&quotechart carry Lyme disease","free_production",10982,20,"cow"
13,"is white","free_production",7358,21,"polar bear"
14,"carries Lyme disease","free_production",60733,1,"deer"
14,"has spots","free_production",10990,2,"leopard"
14,"lays eggs","free_production",11470,3,"chicken"
14,"doesn&quotechart have beautiful feathers","free_production",22079,4,"dog"
14,"has a pouch","free_production",40595,5,"kangaroo"
14,"is full-grown","free_production",12025,6,"cow"
14,"carries malaria","free_production",37505,7,"mosquito"
14,"doesn&quotechart attack swimmers","free_production",21025,8,"gold fish"
14,"is red","free_production",8642,9,"gold fish"
14,"doesn&quotechart carry malaria","free_production",6754,10,"cat"
14,"is male","free_production",10906,11,"dog"
14,"is white","free_production",17665,12,"horse"
14,"has beautiful feathers","free_production",33624,13,"peacock"
14,"doesn&quotechart carry Lyme disease","free_production",9983,14,"cat"
14,"doesn&quotechart eat people","free_production",9779,15,"fly"
14,"has wings","free_production",6920,16,"bird"
14,"eats people","free_production",15912,17,"shark"
14,"has a mane","free_production",5722,18,"lion"
14,"is juvenile","free_production",10547,19,"tiger"
14,"attacks swimmers","free_production",6411,20,"shark"
14,"is female","free_production",6287,21,"dog"
15,"is red","free_production",9124,1,"lady bug"
15,"has a pouch","free_production",5827,2,"kangaroo"
15,"is male","free_production",5004,3,"dog"
15,"is full-grown","free_production",9393,4,"bear"
15,"doesn&quotechart have beautiful feathers","free_production",14681,5,"crow"
15,"doesn&quotechart attack swimmers","free_production",9054,6,"bird"
15,"doesn&quotechart eat people","free_production",6234,7,"elephant"
15,"lays eggs","free_production",6121,8,"cat"
15,"carries malaria","free_production",10440,9,"mosiqito"
15,"is female","free_production",10932,10,"giraffe"
15,"has wings","free_production",5266,11,"bird"
15,"is juvenile","free_production",11774,12,"worm"
15,"has beautiful feathers","free_production",4538,13,"ostrich"
15,"doesn&quotechart carry Lyme disease","free_production",6216,14,"tiger"
15,"is white","free_production",5876,15,"leopard"
15,"has spots","free_production",6811,16,"leopard"
15,"carries Lyme disease","free_production",6139,17,"mosiquito"
15,"has a mane","free_production",5310,18,"lion"
15,"doesn&quotechart carry malaria","free_production",10308,19,"tiger"
15,"eats people","free_production",23002,20,"shark"
15,"attacks swimmers","free_production",3852,21,"shark"
16,"is full-grown","free_production",12948,1,"butterfly"
16,"has spots","free_production",16317,2,"cheetah"
16,"is red","free_production",5630,3,"ladybug"
16,"has a pouch","free_production",5655,4,"kangaroo"
16,"doesn&quotechart eat people","free_production",8784,5,"horse"
16,"has a mane","free_production",7125,6,"lion"
16,"is white","free_production",8671,7,"polar bear"
16,"doesn&quotechart carry Lyme disease","free_production",11183,8,"panda"
16,"eats people","free_production",7888,9,"tiger"
16,"has beautiful feathers","free_production",4631,10,"peacock"
16,"has wings","free_production",4991,11,"fly"
16,"doesn&quotechart attack swimmers","free_production",5848,12,"zebra"
16,"attacks swimmers","free_production",3799,13,"shark"
16,"lays eggs","free_production",5312,14,"sea turtle"
16,"is female","free_production",12072,15,"cat"
16,"is juvenile","free_production",11292,16,"aligator "
16,"doesn&quotechart carry malaria","free_production",12424,17,"sea lion"
16,"carries Lyme disease","free_production",6536,18,"tick"
16,"doesn&quotechart have beautiful feathers","free_production",18359,19,"whale"
16,"carries malaria","free_production",12312,20,"misquito"
16,"is male","free_production",19255,21,"ram"
17,"is full-grown","free_production",8544,1,"Preying matnis"
17,"has spots","free_production",22777,2,"lady bug"
17,"has wings","free_production",5629,3,"mosquito"
17,"is red","free_production",5368,4,"black widow"
17,"has beautiful feathers","free_production",14840,5,"Blue Macaw"
17,"is juvenile","free_production",6475,6,"Ant"
17,"is female","free_production",7462,7,"Beetle"
17,"eats people","free_production",5229,8,"Termite"
17,"lays eggs","free_production",9189,9,"Ducks"
17,"carries malaria","free_production",6859,10,"Mosquitos"
17,"is white","free_production",20212,11,"larva"
17,"doesn&quotechart carry malaria","free_production",7239,12,"wasp"
17,"doesn&quotechart carry Lyme disease","free_production",4042,13,"bee"
17,"doesn&quotechart eat people","free_production",12209,14,"rolly polly"
17,"carries Lyme disease","free_production",5246,15,"tick"
17,"doesn&quotechart attack swimmers","free_production",6859,16,"fly"
17,"doesn&quotechart have beautiful feathers","free_production",4727,17,"lizard"
17,"is male","free_production",3158,18,"dog"
17,"attacks swimmers","free_production",3981,19,"leech"
17,"has a mane","free_production",5531,20,"bee"
17,"has a pouch","free_production",5148,21,"kangaroo"
18,"has a mane","free_production",12516,1,"tiger"
18,"doesn&quotechart have beautiful feathers","free_production",9944,2,"lizard"
18,"doesn&quotechart carry Lyme disease","free_production",6413,3,"cat"
18,"doesn&quotechart carry malaria","free_production",4818,4,"turkey"
18,"has wings","free_production",4894,5,"owl"
18,"has a pouch","free_production",4614,6,"kangaroo"
18,"carries malaria","free_production",6928,7,"bear"
18,"is white","free_production",7390,8,"panda"
18,"is male","free_production",3631,9,"bear"
18,"doesn&quotechart attack swimmers","free_production",7779,10,"bass"
18,"doesn&quotechart eat people","free_production",3148,11,"bass"
18,"is female","free_production",7404,12,"trout"
18,"has spots","free_production",5450,13,"eel"
18,"is full-grown","free_production",4324,14,"bear"
18,"is juvenile","free_production",9572,15,"cub"
18,"eats people","free_production",4241,16,"shark"
18,"is red","free_production",5269,17,"hippo"
18,"has beautiful feathers","free_production",5418,18,"blue jay"
18,"lays eggs","free_production",4434,19,"chicken"
18,"attacks swimmers","free_production",5346,20,"sharks"
18,"carries Lyme disease","free_production",9180,21,"skunk"
19,"has wings","free_production",8393,1,"butterfly"
19,"is juvenile","free_production",8820,2,"rabbit"
19,"has beautiful feathers","free_production",6895,3,"peacock"
19,"is female","free_production",8417,4,"squirrel"
19,"is full-grown","free_production",5014,5,"horse"
19,"is male","free_production",5810,6,"dog"
19,"doesn&quotechart eat people","free_production",5742,7,"cat"
19,"is red","free_production",12641,8,"cardinal"
19,"has a mane","free_production",4662,9,"horse"
19,"carries malaria","free_production",7591,10,"mosquito"
19,"is white","free_production",4966,11,"sheep"
19,"has a pouch","free_production",5070,12,"kangaroo"
19,"has spots","free_production",5723,13,"leopard"
19,"eats people","free_production",9684,14,"shark"
19,"doesn&quotechart carry Lyme disease","free_production",11432,15,"lion"
19,"attacks swimmers","free_production",7080,16,"shark"
19,"doesn&quotechart have beautiful feathers","free_production",22775,17,"cat"
19,"lays eggs","free_production",5627,18,"hen"
19,"doesn&quotechart carry malaria","free_production",8906,19,"dolphin"
19,"carries Lyme disease","free_production",4507,20,"tick"
19,"doesn&quotechart attack swimmers","free_production",7254,21,"cat"
20,"is male","free_production",13437,1,"horse"
20,"is full-grown","free_production",7849,2,"dog"
20,"lays eggs","free_production",7060,3,"spider"
20,"carries malaria","free_production",7170,4,"misquito"
20,"has beautiful feathers","free_production",6944,5,"peacock"
20,"has wings","free_production",5382,6,"bird"
20,"has a mane","free_production",5259,7,"lion"
20,"is female","free_production",6361,8,"cat"
20,"doesn&quotechart eat people","free_production",5872,9,"lizard"
20,"doesn&quotechart have beautiful feathers","free_production",13166,10,"fly"
20,"is juvenile","free_production",12694,11,"bee"
20,"is red","free_production",5430,12,"fox"
20,"eats people","free_production",5433,13,"bear"
20,"carries Lyme disease","free_production",4825,14,"tick"
20,"has spots","free_production",5039,15,"cheeta"
20,"has a pouch","free_production",4760,16,"kangaroo"
20,"attacks swimmers","free_production",5609,17,"shark"
20,"is white","free_production",10064,18,"polar bear"
20,"doesn&quotechart carry malaria","free_production",16768,19,"nat"
20,"doesn&quotechart carry Lyme disease","free_production",13680,20,"catapiller"
20,"doesn&quotechart attack swimmers","free_production",8233,21,"dolphin"
21,"is full-grown","free_production",5923,1,"Human"
21,"eats people","free_production",9848,2,"Wolf"
21,"doesn&quotechart have beautiful feathers","free_production",8582,3,"Duck"
21,"has wings","free_production",3576,4,"Bee"
21,"attacks swimmers","free_production",4340,5,"Goose"
21,"is red","free_production",4098,6,"ladybug"
21,"carries malaria","free_production",5349,7,"mosquito"
21,"is female","free_production",5386,8,"dog"
21,"has beautiful feathers","free_production",3866,9,"peacock"
21,"doesn&quotechart eat people","free_production",7315,10,"cat"
21,"is male","free_production",3367,11,"dog"
21,"has a pouch","free_production",3293,12,"kangaroo"
21,"is white","free_production",7396,13,"sheep"
21,"has a mane","free_production",2855,14,"lion"
21,"doesn&quotechart carry malaria","free_production",7291,15,"cow"
21,"lays eggs","free_production",3151,16,"chicken"
21,"is juvenile","free_production",13597,17,"duck"
21,"doesn&quotechart attack swimmers","free_production",4903,18,"dolphin"
21,"has spots","free_production",2391,19,"cow"
21,"doesn&quotechart carry Lyme disease","free_production",14048,20,"bull"
21,"carries Lyme disease","free_production",3247,21,"deer"
22,"is red","free_production",33773,1,"ant"
22,"doesn&quotechart eat people","free_production",4557,2,"cow"
22,"has spots","free_production",13601,3,"dalmatian"
22,"has a mane","free_production",6867,4,"horse"
22,"is juvenile","free_production",10199,5,"puppy"
22,"carries Lyme disease","free_production",5273,6,"tick"
22,"has a pouch","free_production",5491,7,"opossum"
22,"carries malaria","free_production",4338,8,"mosquito"
22,"is male","free_production",3947,9,"bull"
22,"is female","free_production",14361,10,"spider"
22,"has wings","free_production",3739,11,"bird"
22,"is white","free_production",7459,12,"dove"
22,"attacks swimmers","free_production",4657,13,"shark"
22,"is full-grown","free_production",7516,14,"dog"
22,"doesn&quotechart have beautiful feathers","free_production",5222,15,"beetle"
22,"doesn&quotechart attack swimmers","free_production",7673,16,"manatee"
22,"lays eggs","free_production",4060,17,"turtle"
22,"doesn&quotechart carry Lyme disease","free_production",18638,18,"koala"
22,"eats people","free_production",5607,19,"tiger"
22,"doesn&quotechart carry malaria","free_production",6617,20,"alligator"
22,"has beautiful feathers","free_production",5101,21,"peacock"
23,"has wings","free_production",6199,1,"bird"
23,"has a pouch","free_production",7847,2,"kangaroo"
23,"has a mane","free_production",4997,3,"lion"
23,"doesn&quotechart carry Lyme disease","free_production",19824,4,"cockroaches"
23,"is juvenile","free_production",7824,5,"dog"
23,"is full-grown","free_production",8984,6,"gorilla"
23,"is male","free_production",11272,7,"Shark"
23,"attacks swimmers","free_production",7352,8,"shark"
23,"is red","free_production",6777,9,"red panda"
23,"doesn&quotechart have beautiful feathers","free_production",6432,10,"crow"
23,"has beautiful feathers","free_production",6142,11,"peacock"
23,"carries malaria","free_production",8848,12,"mosquito"
23,"is white","free_production",6008,13,"swan"
23,"doesn&quotechart carry malaria","free_production",9248,14,"polar bear"
23,"is female","free_production",10752,15,"cat"
23,"doesn&quotechart attack swimmers","free_production",10280,16,"dolphin"
23,"has spots","free_production",6479,17,"cow"
23,"eats people","free_production",8848,18,"maggots"
23,"carries Lyme disease","free_production",3936,19,"tick"
23,"lays eggs","free_production",5711,20,"chicken"
23,"doesn&quotechart eat people","free_production",11728,21,"goat"
24,"eats people","free_production",12368,1,"lion"
24,"doesn&quotechart carry Lyme disease","free_production",7400,2,"dog"
24,"carries Lyme disease","free_production",5224,3,"deer"
24,"is male","free_production",12271,4,"bird"
24,"is red","free_production",4417,5,"ball"
24,"lays eggs","free_production",4727,6,"hen"
24,"doesn&quotechart eat people","free_production",5944,7,"dog"
24,"attacks swimmers","free_production",5265,8,"shark"
24,"carries malaria","free_production",6391,9,"mosquito"
24,"is full-grown","free_production",8568,10,"elephant"
24,"has wings","free_production",4695,11,"bird"
24,"is female","free_production",7263,12,"butterfly"
24,"doesn&quotechart carry malaria","free_production",8064,13,"tick"
24,"is juvenile","free_production",10696,14,"rabbit"
24,"doesn&quotechart attack swimmers","free_production",5097,15,"whale"
24,"has a mane","free_production",4903,16,"horse"
24,"has beautiful feathers","free_production",5177,17,"turkey"
24,"doesn&quotechart have beautiful feathers","free_production",5167,18,"hen"
24,"has a pouch","free_production",7920,19,"kangaroo"
24,"is white","free_production",8184,20,"duck"
24,"has spots","free_production",25272,21,"leopard"
25,"is full-grown","free_production",15032,1,"Butterfly"
25,"has a pouch","free_production",4694,2,"kangaroo"
25,"is female","free_production",4345,3,"cow"
25,"carries Lyme disease","free_production",4564,4,"mosquito"
25,"has a mane","free_production",3040,5,"lion"
25,"is male","free_production",7294,6,"bull"
25,"doesn&quotechart have beautiful feathers","free_production",24500,7,"fish"
25,"eats people","free_production",7918,8,"shark"
25,"carries malaria","free_production",4630,9,"mosquito"
25,"lays eggs","free_production",5223,10,"chicken"
25,"has wings","free_production",6495,11,"dragonfly"
25,"doesn&quotechart attack swimmers","free_production",4159,12,"dolphin"
25,"is white","free_production",6407,13,"dove"
25,"is juvenile","free_production",5847,14,"puppy"
25,"is red","free_production",6469,15,"ladybug"
25,"has beautiful feathers","free_production",80049,16,"lovebird"
25,"attacks swimmers","free_production",18230,17,"shark"
25,"doesn&quotechart carry Lyme disease","free_production",12486,18,"ant"
25,"has spots","free_production",10742,19,"leopard"
25,"doesn&quotechart carry malaria","free_production",19855,20,"cat"
